SNOMED Procedure,Count,% of Total
Endoscopic retrograde cholangiopancreatography with dilatation of bile duct using fluoroscopic guidance (procedure) (432876003),1,0.0
Fluoroscopic angioplasty of renal artery (procedure) (419827000),1,0.0
Barium meal and follow through (procedure),1,0.0
Fluoroscopic venography of superior vena cava (procedure) (418819002),1,0.0
Endoscopic excision of polyp of large intestine using sigmoidoscope (procedure),1,0.0
Computerized axial tomography of cervical spine with contrast (procedure),1,0.0
Insertion of drain into pericardium using fluoroscopic guidance (procedure) (447388001),1,0.0
Fine needle aspiration biopsy of axilla using ultrasound guidance (procedure) (431364006),1,0.0
Single photon emission computed tomography of bone of upper limb (procedure) (431838006),1,0.0
Endoscopic ultrasonography of bronchus (procedure),1,0.0
Replacement of drainage tube using fluoroscopic guidance (procedure) (431827006),1,0.0
Fluoroscopic angiography (procedure),1,0.0
Injection of subacromial bursa using ultrasound guidance (procedure),1,0.0
Lumbar puncture using computed tomography guidance (procedure),1,0.0
Radionuclide imaging of bone of knee (procedure),1,0.0
Positron emission tomography with computed tomography of whole body using gallium-68 (procedure) (764820005),1,0.0
Magnetic resonance imaging of left ankle with contrast (procedure) (2061000087100),1,0.0
Fluoroscopic intravenous digital subtraction angiography of intracerebral vessel (procedure) (431472007),1,0.0
Isotope static scan lymph node (procedure),1,0.0
Radionuclide imaging of transplanted kidney (procedure) (443578000),1,0.0
Radionuclide venous blood pool study (procedure) (241311007),1,0.0
Removal of nephrostomy tube using fluoroscopic guidance (procedure) (431341009),1,0.0
Injection of tendon sheath using ultrasound guidance (procedure),1,0.0
Gated single photon emission computed tomography of myocardium using technetium (99m-Tc) sestamibi (procedure) (764840003),1,0.0
Dual energy computed tomography angiography of pulmonary artery (procedure),1,0.0
Computed tomography of sternoclavicular joint (procedure),1,0.0
Magnetic resonance imaging angiography of visceral arteries (procedure) (419555009),1,0.0
Magnetic resonance imaging of right femur with contrast (procedure),1,0.0
